Date,Bankroll,Outcome,Stake,CumulativeProfit
2020-12-06,976.7605202742088,Lose,23.239479725791217,-23.23947972579117
2020-12-06,997.2313008699437,Win,28.431639716298395,-2.7686991300563477
2020-12-06,1018.0786672986202,Win,20.84736642867656,18.07866729862019
2020-12-06,1045.8290423099083,Win,23.125312509406832,45.829042309908345
2020-12-07,1054.1335480052414,Win,9.227228550370027,54.13354800524144
2020-12-11,1060.0312171452424,Win,10.34678796491386,60.03121714524241
2020-12-13,1038.2206227480417,Lose,21.81059439720077,38.220622748041706
2020-12-13,1049.5784172947197,Win,11.245341135324693,49.57841729471966
2020-12-13,1073.6581881638035,Win,26.75530096564885,73.65818816380352
2020-12-15,1050.3068921431711,Lose,23.351296020632347,50.306892143171126
2020-12-15,1076.5974549139394,Win,26.290562770768304,76.59745491393937
2020-12-16,1108.541725285407,Win,48.40040965373879,108.54172528540698
2020-12-16,1063.5899610980243,Lose,44.951764187382715,63.58996109802433
2020-12-17,1042.5964641161202,Lose,20.993496981904226,42.59646411612016
2020-12-17,1061.688407751985,Win,23.864929544831213,61.688407751985096
2020-12-19,1067.4543827745954,Win,7.207468778262864,67.45438277459539
2020-12-19,1052.5638636729311,Lose,14.890519101664168,52.56386367293112
2020-12-19,1020.1300961109098,Lose,32.43376756202134,20.13009611090979
2020-12-20,1033.9289250426632,Win,27.597657863506722,33.928925042663195
2020-12-20,987.8529425457613,Lose,46.07598249690196,-12.147057454238734
2020-12-20,999.9193493012351,Win,16.75889827149149,-0.08065069876488451
2020-12-21,1013.8418941313773,Win,24.425517245863517,13.84189413137733
2020-12-26,1020.362426605086,Win,9.879594657134277,20.362426605085943
2020-12-26,1028.3849066368969,Win,11.142333377515206,28.384906636896858
2020-12-26,992.2410529567014,Lose,36.14385368019546,-7.758947043298576
2020-12-26,997.7136681551929,Win,5.760647577359391,-2.286331844807137
2020-12-27,982.3899468809635,Lose,15.323721274229346,-17.61005311903648
2020-12-27,996.0635984439898,Win,13.81176925558212,-3.936401556010196
2020-12-28,980.9103774443869,Lose,15.153220999602949,-19.08962255561312
2020-12-29,995.5156891213379,Win,25.623353819212408,-4.484310878662086
2020-12-29,976.5062005753397,Lose,19.00948854599827,-23.493799424660324
2021-01-01,988.3189056056273,Win,22.288122698655904,-11.681094394372735
2021-01-02,1004.2748840281911,Win,36.263587324008704,4.274884028191082
2021-01-02,1040.4364497605889,Win,24.107710488265234,40.43644976058886
2021-01-02,1059.6549114144693,Win,21.353846282089467,59.654911414469325
2021-01-03,1081.0027463340932,Win,23.719816577359882,81.00274633409322
2021-01-03,1096.3088956617546,Win,21.258540732862894,96.3088956617546
2021-01-04,1065.7847533531294,Lose,30.524142308625102,65.78475335312942
2021-01-12,1042.3488297257625,Lose,23.43592362736686,42.34882972576247
2021-01-12,1053.1070006978896,Win,7.852679541698553,53.10700069788959
2021-01-13,1021.7414227241421,Lose,31.36557797374746,21.741422724142126
2021-01-16,1009.1665101502163,Lose,12.57491257392588,9.166510150216254
2021-01-16,1043.0189527535974,Win,26.04034046413943,43.01895275359743
2021-01-17,1059.1572215223737,Win,32.276537537552564,59.157221522373675
2021-01-17,1077.5718078204611,Win,18.41458629808734,77.57180782046112
2021-01-17,1036.1580098419463,Lose,41.413797978514744,36.158009841946296
2021-01-19,1022.533135289352,Lose,13.62487455259431,22.533135289352003
2021-01-19,1048.7087021850168,Win,29.08396321740533,48.70870218501682
2021-01-20,1018.2494353518514,Lose,30.459266833165483,18.24943535185139
2021-01-26,1031.6430055275584,Win,16.741962719633737,31.643005527558444
