Date,HomeTeam,AwayTeam,Odds,PredictedProbability,ImpliedProbability,ProbabilityDifference,Stake,Outcome,ActualResult,Bankroll
2023-11-25,Sheffield United,Bournemouth,1.85,0.8014576923233446,0.5405405405405405,0.26091715178280417,28.39392534106986,Win,1,1024.1348365399094
2023-12-02,Brentford,Luton,1.7,0.9297557171031702,0.5882352941176471,0.3415204229855231,42.471216883417355,Win,1,1053.8646883583015
2023-12-02,Burnley,Sheffield United,2.06,0.53671129473439,0.4854368932038835,0.05127440153050655,5.250695247678955,Win,1,1059.430425320841
2023-12-03,West Ham,Crystal Palace,2.04,0.81590113358606,0.49019607843137253,0.32570505515468745,33.84260403979924,Lose,0,1025.587821281042
2023-12-05,Luton,Arsenal,1.65,0.8608449757847924,0.6060606060606061,0.2547843697241863,33.16547553531702,Win,1,1047.145380378998
2023-12-06,Fulham,Nott'm Forest,2.06,0.8151509005314466,0.4854368932038835,0.32971400732756306,33.548703264894705,Win,1,1082.7070058397865
2023-12-10,Tottenham,Newcastle,1.53,0.8619693154252166,0.6535947712418301,0.20837454418338652,32.56425713243564,Win,1,1099.9660621199773
2023-12-10,Luton,Man City,1.36,0.8756715241980304,0.7352941176470588,0.14037740655097164,29.166405695625386,Win,1,1110.4659681704024
2023-12-17,Brentford,Aston Villa,1.7,0.6594490503517025,0.5882352941176471,0.07121375623405546,9.6026264069966,Win,1,1117.1878066553002
2023-12-23,Luton,Newcastle,1.75,0.8699182643234806,0.5714285714285714,0.29848969289490923,38.90472195335574,Lose,0,1078.2830847019445
2023-12-23,Nott'm Forest,Bournemouth,1.95,0.5645697671376005,0.5128205128205129,0.051749254317087656,5.726877572279303,Win,1,1083.72361839561
2023-12-23,Liverpool,Arsenal,1.7,0.7248878222520457,0.5882352941176471,0.13665252813439865,17.982790916401523,Lose,0,1065.7408274792085
2023-12-24,Wolves,Chelsea,1.86,0.6056207112034271,0.5376344086021505,0.06798630260127658,7.8353341748986995,Win,1,1072.4792148696215
2023-12-26,Newcastle,Nott'm Forest,1.8,0.7429364248941022,0.5555555555555556,0.18738086933854659,22.60823485835155,Win,1,1090.5658027563027
