Date,Season,HomeTeam,AwayTeam,Over2.5,ModelProbabilityOver2.5,ImpliedProbability,ProbabilityDifference,ExpectedValue,B365>2.5
2020-12-06,2020_21,Tottenham,Arsenal,0,0.7464792816127589,0.5263157894736842,0.2201634921390747,0.4183106350642418,1.9
2020-12-06,2020_21,Liverpool,Wolves,1,0.8250910424773671,0.5813953488372093,0.24369569364015775,0.41915659306107145,1.72
2020-12-06,2020_21,Sheffield United,Leicester,1,0.7090524676721456,0.5,0.20905246767214558,0.41810493534429116,2.0
2020-12-06,2020_21,West Brom,Crystal Palace,1,0.7023417639756956,0.45454545454545453,0.24779630943024106,0.5451518807465303,2.2
2020-12-07,2020_21,Brighton,Southampton,1,0.609901008365181,0.5263157894736842,0.08358521889149684,0.1588119158938439,1.9
2020-12-11,2020_21,Leeds,West Ham,1,0.708214046160466,0.6369426751592356,0.07127137100123038,0.11189605247193168,1.57
2020-12-13,2020_21,Crystal Palace,Tottenham,0,0.721240882641618,0.5263157894736842,0.19492509316793383,0.3703576770190742,1.9
2020-12-13,2020_21,Southampton,Sheffield United,1,0.6063649096124983,0.49751243781094534,0.108852471801553,0.21879346832112145,2.01
2020-12-13,2020_21,Leicester,Brighton,1,0.7678139644832916,0.5263157894736842,0.24149817500960746,0.458846532518254,1.9
2020-12-15,2020_21,Man City,West Brom,0,0.8504373817765392,0.7352941176470588,0.1151432641294804,0.1565948392160934,1.36
2020-12-15,2020_21,Wolves,Chelsea,1,0.7503131510174318,0.5,0.2503131510174318,0.5006263020348636,2.0
2020-12-16,2020_21,West Ham,Crystal Palace,0,0.9104770789440175,0.5263157894736842,0.38416128947033334,0.7299064499936332,1.9
2020-12-16,2020_21,Liverpool,Tottenham,1,0.9598976909459487,0.6024096385542169,0.35748805239173176,0.5934301669702746,1.66
2020-12-17,2020_21,Aston Villa,Burnley,0,0.7133105601613213,0.5263157894736842,0.18699477068763715,0.35529006430651044,1.9
2020-12-17,2020_21,Sheffield United,Man United,1,0.7590213396496975,0.5555555555555556,0.20346578409414195,0.3662384113694557,1.8
2020-12-19,2020_21,Everton,Arsenal,1,0.6158994273284124,0.5555555555555556,0.06034387177285683,0.10861896919114233,1.8
2020-12-19,2020_21,Newcastle,Fulham,0,0.6223287252020283,0.47619047619047616,0.14613824901155215,0.30689032292425944,2.1
2020-12-19,2020_21,Southampton,Man City,0,0.8606880894181776,0.6369426751592356,0.223745414258942,0.351280300386539,1.57
2020-12-20,2020_21,Man United,Leeds,1,0.8470205121792379,0.6666666666666666,0.18035384551257128,0.2705307682688569,1.5
2020-12-20,2020_21,Tottenham,Leicester,0,0.9516797754524414,0.5555555555555556,0.39612421989688584,0.7130235958143947,1.8
2020-12-20,2020_21,West Brom,Aston Villa,1,0.7234276790083656,0.5813953488372093,0.14203233017115624,0.24429560789438876,1.72
2020-12-21,2020_21,Chelsea,West Ham,1,0.8143142392825264,0.6369426751592356,0.1773715641232908,0.27847335567356657,1.57
2020-12-26,2020_21,Man City,Newcastle,0,0.9213624004136755,0.7352941176470588,0.1860682827666167,0.2530528645625987,1.36
2020-12-26,2020_21,Arsenal,Chelsea,1,0.5693888098930221,0.5128205128205129,0.05656829707250921,0.11030817929139314,1.95
2020-12-26,2020_21,Leicester,Man United,1,0.6798976893717112,0.6024096385542169,0.07748805081749432,0.12863016435704067,1.66
2020-12-26,2020_21,Aston Villa,Crystal Palace,1,0.6728184050967962,0.5813953488372093,0.09142305625958691,0.15724765676648955,1.72
2020-12-27,2020_21,Liverpool,West Brom,0,0.8166056059085279,0.7352941176470588,0.08131148826146917,0.11058362403559796,1.36
